"adjudicated_sample_id","adjudicated_measurement_id","source_branch","source_file","source_sheet","source_sheet_rows","source_sheet_rows_model","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","isotope","raw_value_retained_mean","audit_value_mean","value","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","source_measurement_ids","source_measurement_ids_model","n_retained_assay_rows","n_model_contributing_rows","adjudication_method","assay_qc_variant_name","assay_qc_variant_row_action","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_ids","assay_qc_repeat_pair_detected","assay_qc_repeat_detection_sources","assay_qc_repeat_detection_pattern","assay_qc_repeat_resolution_status","assay_qc_contributes_to_model_value","assay_qc_model_source_rows","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes"
"live_model_CP16409_2024.10.02_primary.feather","live_model_CP16409_2024.10.02_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","17","17","CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,"normalised_d13c",-21.9745952015128,-21.9745952015128,-21.9745952015128,0.231,3.46248814374539,"F","266440","266440","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","live_measurement_0012","live_measurement_0012",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"17",FALSE,,
"live_model_CP16409_2024.10.02_primary.feather","live_model_CP16409_2024.10.02_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","17","17","CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,"normalised_d15n",12.944080586374,12.944080586374,12.944080586374,0.231,3.46248814374539,"F","266440","266440","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","live_measurement_0011","live_measurement_0011",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"17",FALSE,,
"live_model_CP16446_2024.10.21_breast.feather","live_model_CP16446_2024.10.21_breast.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","18|20","18|20","CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,"normalised_d13c",-15.4022577127146,-15.4022577127146,-15.4022577127146,0.23,3.4777247943137,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0014|live_measurement_0018","live_measurement_0014|live_measurement_0018",2,2,"lab_green_average","sensitivity","include","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","aqc_0004|aqc_0006",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,"18|20",FALSE,,
"live_model_CP16446_2024.10.21_breast.feather","live_model_CP16446_2024.10.21_breast.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","18|19","18|19","CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,"normalised_d15n",11.2253930192501,11.2253930192501,11.2253930192501,0.2365,3.40867610695455,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0013|live_measurement_0015","live_measurement_0013|live_measurement_0015",2,2,"lab_green_average","sensitivity","include","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","aqc_0001|aqc_0002",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,"18|19",FALSE,,
"live_model_CP16446_2024.10.21_primary.feather","live_model_CP16446_2024.10.21_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","21","21","CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,"normalised_d13c",-20.6758279163219,-20.6758279163219,-20.6758279163219,0.307,3.31666843417012,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0020","live_measurement_0020",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"21",FALSE,,
"live_model_CP16446_2024.10.21_primary.feather","live_model_CP16446_2024.10.21_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","21","21","CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,"normalised_d15n",14.0444474706613,14.0444474706613,14.0444474706613,0.307,3.31666843417012,"M","0A96","0A96","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","live_measurement_0019","live_measurement_0019",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"21",FALSE,,
"live_model_CP16461_2024.10.07_breast.feather","live_model_CP16461_2024.10.07_breast.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","22","22","CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather","CP16461","breast","Breast",FALSE,"normalised_d13c",-24.2775705812574,-24.2775705812574,-24.2775705812574,0.221,3.32822854215038,"M",,,"resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","live_measurement_0022","live_measurement_0022",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"22",FALSE,,
"live_model_CP16461_2024.10.07_breast.feather","live_model_CP16461_2024.10.07_breast.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","22","22","CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather","CP16461","breast","Breast",FALSE,"normalised_d15n",9.53644589849984,9.53644589849984,9.53644589849984,0.221,3.32822854215038,"M",,,"resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","live_measurement_0021","live_measurement_0021",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"22",FALSE,,
"live_model_CP16461_2024.10.07_primary.feather","live_model_CP16461_2024.10.07_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","23","23","CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather","CP16461","primary","Primary",FALSE,"normalised_d13c",-14.485979789623,-14.485979789623,-14.485979789623,0.348,3.29660863121138,"M",,,"resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","live_measurement_0024","live_measurement_0024",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"23",FALSE,,
"live_model_CP16461_2024.10.07_primary.feather","live_model_CP16461_2024.10.07_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","23","23","CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather","CP16461","primary","Primary",FALSE,"normalised_d15n",11.6689730444186,11.6689730444186,11.6689730444186,0.348,3.29660863121138,"M",,,"resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","live_measurement_0023","live_measurement_0023",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"23",FALSE,,
"live_model_CP16470_2024.10.08_breast.feather","live_model_CP16470_2024.10.08_breast.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","24|25","24|25","CP16470_2024-10-08_breast feather|CP16470_2024-10-08_breast feather_rpt","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",TRUE,"normalised_d13c",-20.1855223087705,-20.1855223087705,-20.1855223087705,0.244,3.40050268705047,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","live_measurement_0026|live_measurement_0028","live_measurement_0026|live_measurement_0028",2,2,"lab_green_average","sensitivity","include","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","aqc_0009|aqc_0010",TRUE,"green formatting|_rpt suffix","all_rows_green","resolved_use_average",TRUE,"24|25",FALSE,,
"live_model_CP16470_2024.10.08_breast.feather","live_model_CP16470_2024.10.08_breast.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","24|25","24|25","CP16470_2024-10-08_breast feather|CP16470_2024-10-08_breast feather_rpt","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",TRUE,"normalised_d15n",11.8090707413693,11.8090707413693,11.8090707413693,0.244,3.40050268705047,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","live_measurement_0025|live_measurement_0027","live_measurement_0025|live_measurement_0027",2,2,"lab_green_average","sensitivity","include","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","aqc_0007|aqc_0008",TRUE,"green formatting|_rpt suffix","all_rows_green","resolved_use_average",TRUE,"24|25",FALSE,,
"live_model_CP16470_2024.10.08_primary.feather","live_model_CP16470_2024.10.08_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","26","26","CP16470_2024-10-08_primary feather","CP16470_2024-10-08_primary feather","CP16470","primary","Primary",FALSE,"normalised_d13c",-14.5829328684553,-14.5829328684553,-14.5829328684553,0.304,3.3511710644874,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","live_measurement_0030","live_measurement_0030",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"26",FALSE,,
"live_model_CP16470_2024.10.08_primary.feather","live_model_CP16470_2024.10.08_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","26","26","CP16470_2024-10-08_primary feather","CP16470_2024-10-08_primary feather","CP16470","primary","Primary",FALSE,"normalised_d15n",14.7703700885168,14.7703700885168,14.7703700885168,0.304,3.3511710644874,"M",,,"resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","live_measurement_0029","live_measurement_0029",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"26",FALSE,,
"live_model_CP16501_2024.10.05_breast.feather","live_model_CP16501_2024.10.05_breast.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","27","27","CP16501_2024-10-05_breast feather","CP16501_2024-10-05_breast feather","CP16501","breast","Breast",FALSE,"normalised_d13c",-14.3823997627521,-14.3823997627521,-14.3823997627521,0.235,3.35261396777322,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05","live_measurement_0032","live_measurement_0032",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"27",FALSE,,
"live_model_CP16501_2024.10.05_breast.feather","live_model_CP16501_2024.10.05_breast.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","27","27","CP16501_2024-10-05_breast feather","CP16501_2024-10-05_breast feather","CP16501","breast","Breast",FALSE,"normalised_d15n",13.3340336737951,13.3340336737951,13.3340336737951,0.235,3.35261396777322,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05","live_measurement_0031","live_measurement_0031",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"27",FALSE,,
"live_model_CP16501_2024.10.05_primary.feather","live_model_CP16501_2024.10.05_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","28","28","CP16501_2024-10-05_primary feather","CP16501_2024-10-05_primary feather","CP16501","primary","Primary",FALSE,"normalised_d13c",-14.7425014773667,-14.7425014773667,-14.7425014773667,0.221,3.44177313189043,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05","live_measurement_0034","live_measurement_0034",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"28",FALSE,,
"live_model_CP16501_2024.10.05_primary.feather","live_model_CP16501_2024.10.05_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","28","28","CP16501_2024-10-05_primary feather","CP16501_2024-10-05_primary feather","CP16501","primary","Primary",FALSE,"normalised_d15n",11.7608367044499,11.7608367044499,11.7608367044499,0.221,3.44177313189043,"M","266467","266467","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05","live_measurement_0033","live_measurement_0033",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"28",FALSE,,
"live_model_CP16507_2024.10.22_breast.feather","live_model_CP16507_2024.10.22_breast.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","29","29","CP16507_2024-10-22_breast feather","CP16507_2024-10-22_breast feather","CP16507","breast","Breast",FALSE,"normalised_d13c",-23.0949341161739,-23.0949341161739,-23.0949341161739,0.272,3.36469086103228,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22","live_measurement_0036","live_measurement_0036",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"29",FALSE,,
"live_model_CP16507_2024.10.22_breast.feather","live_model_CP16507_2024.10.22_breast.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","29","29","CP16507_2024-10-22_breast feather","CP16507_2024-10-22_breast feather","CP16507","breast","Breast",FALSE,"normalised_d15n",12.4186358248271,12.4186358248271,12.4186358248271,0.272,3.36469086103228,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22","live_measurement_0035","live_measurement_0035",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"29",FALSE,,
"live_model_CP16507_2024.10.22_primary.feather","live_model_CP16507_2024.10.22_primary.feather::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","30","30","CP16507_2024-10-22_primary feather","CP16507_2024-10-22_primary feather","CP16507","primary","Primary",FALSE,"normalised_d13c",-22.3483351915414,-22.3483351915414,-22.3483351915414,0.266,3.38600413691432,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22","live_measurement_0038","live_measurement_0038",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"30",FALSE,,
"live_model_CP16507_2024.10.22_primary.feather","live_model_CP16507_2024.10.22_primary.feather::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","30","30","CP16507_2024-10-22_primary feather","CP16507_2024-10-22_primary feather","CP16507","primary","Primary",FALSE,"normalised_d15n",13.3089619458985,13.3089619458985,13.3089619458985,0.266,3.38600413691432,"F","0AA1","0AA1","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE,"live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22","live_measurement_0037","live_measurement_0037",1,1,"single_raw","sensitivity","include","keep",,,,FALSE,,,,TRUE,"30",FALSE,,
