"assay_row_id","source_branch","source_file","source_sheet","source_sheet_row","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","isotope","raw_value","measurement_id","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","assay_qc_decision_id","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_class","assay_qc_rule_basis","assay_qc_notes","assay_qc_repeat_pair_detected","assay_qc_repeat_detection_sources","assay_qc_repeat_detection_pattern","assay_qc_repeat_resolution_status","assay_qc_audit_retained","assay_qc_excluded_by_lab_instruction","assay_qc_contributes_to_model_value","assay_qc_model_value_method","assay_qc_model_source_rows","assay_qc_strict_row_action","assay_qc_sensitivity_row_action","assay_qc_sensitivity_selected_source_row","assay_qc_sensitivity_selected_value","qc_adjudicated_value","value","audit_value","strict_value","sensitivity_value","included_in_canonical","included_in_strict","included_in_sensitivity","assay_qc_explicit","assay_qc_value_changed","assay_qc_value_excluded","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes"
"live_cn_assay_0006","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",17,"CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,0.231,3.46248814374539,"normalised_d15n",12.944080586374,"live_measurement_0011","live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","17","include","include",,,,12.944080586374,12.944080586374,12.944080586374,12.944080586374,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0006","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",17,"CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,0.231,3.46248814374539,"normalised_d13c",-21.9745952015128,"live_measurement_0012","live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","17","include","include",,,,-21.9745952015128,-21.9745952015128,-21.9745952015128,-21.9745952015128,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0007","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",18,"CP16446_2024-10-21_breast feather","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",FALSE,0.252,3.43311333298677,"normalised_d15n",11.1903904714398,"live_measurement_0013","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0001","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","18|19","include","include",,,11.2253930192501,11.2253930192501,11.1903904714398,11.2253930192501,11.2253930192501,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0007","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",18,"CP16446_2024-10-21_breast feather","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",FALSE,0.252,3.43311333298677,"normalised_d13c",-15.3076749672336,"live_measurement_0014","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0004","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","18|20","include","include",,,-15.4022577127146,-15.4022577127146,-15.3076749672336,-15.4022577127146,-15.4022577127146,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0008","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",19,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.221,3.38423888092233,"normalised_d15n",11.2603955670603,"live_measurement_0015","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0002","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","18|19","include","include",,,11.2253930192501,11.2253930192501,11.2603955670603,11.2253930192501,11.2253930192501,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0008","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",19,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.221,3.38423888092233,"normalised_d13c",-17.3433011082292,"live_measurement_0016","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0005","exclude","Do not use these data","sheet note|green average","rule_based","sheet_note_green_average","Excluded before applying green average from row 18.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",FALSE,TRUE,FALSE,"lab_green_average","18|20","exclude","exclude",,,-15.4022577127146,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,
"live_cn_assay_0009","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",20,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.208,3.52233625564063,"normalised_d15n",10.0227283253739,"live_measurement_0017","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0003","exclude","Do not use data from this repeat anlaysis","sheet note|green average","rule_based","sheet_note_green_average","Excluded before applying green average from row 18.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",FALSE,TRUE,FALSE,"lab_green_average","18|19","exclude","exclude",,,11.2253930192501,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,
"live_cn_assay_0009","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",20,"CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.208,3.52233625564063,"normalised_d13c",-15.4968404581956,"live_measurement_0018","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"aqc_0006","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix|comments","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","18|20","include","include",,,-15.4022577127146,-15.4022577127146,-15.4968404581956,-15.4022577127146,-15.4022577127146,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0010","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",21,"CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,0.307,3.31666843417012,"normalised_d15n",14.0444474706613,"live_measurement_0019","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","21","include","include",,,,14.0444474706613,14.0444474706613,14.0444474706613,14.0444474706613,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0010","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",21,"CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,0.307,3.31666843417012,"normalised_d13c",-20.6758279163219,"live_measurement_0020","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","21","include","include",,,,-20.6758279163219,-20.6758279163219,-20.6758279163219,-20.6758279163219,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0011","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",22,"CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather","CP16461","breast","Breast",FALSE,0.221,3.32822854215038,"normalised_d15n",9.53644589849984,"live_measurement_0021","live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","22","include","include",,,,9.53644589849984,9.53644589849984,9.53644589849984,9.53644589849984,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0011","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",22,"CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather","CP16461","breast","Breast",FALSE,0.221,3.32822854215038,"normalised_d13c",-24.2775705812574,"live_measurement_0022","live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","22","include","include",,,,-24.2775705812574,-24.2775705812574,-24.2775705812574,-24.2775705812574,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0012","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",23,"CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather","CP16461","primary","Primary",FALSE,0.348,3.29660863121138,"normalised_d15n",11.6689730444186,"live_measurement_0023","live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","23","include","include",,,,11.6689730444186,11.6689730444186,11.6689730444186,11.6689730444186,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0012","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",23,"CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather","CP16461","primary","Primary",FALSE,0.348,3.29660863121138,"normalised_d13c",-14.485979789623,"live_measurement_0024","live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,,"keep",,,,,,FALSE,,,,TRUE,FALSE,TRUE,"single_raw","23","include","include",,,,-14.485979789623,-14.485979789623,-14.485979789623,-14.485979789623,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
"live_cn_assay_0013","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",24,"CP16470_2024-10-08_breast feather","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",FALSE,0.289,3.32742581273182,"normalised_d15n",12.0028130569175,"live_measurement_0025","live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"aqc_0007","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","24|25","include","include",,,11.8090707413693,11.8090707413693,12.0028130569175,11.8090707413693,11.8090707413693,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0013","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",24,"CP16470_2024-10-08_breast feather","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",FALSE,0.289,3.32742581273182,"normalised_d13c",-19.9953867538297,"live_measurement_0026","live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"aqc_0009","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","24|25","include","include",,,-20.1855223087705,-20.1855223087705,-19.9953867538297,-20.1855223087705,-20.1855223087705,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
"live_cn_assay_0014","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N",25,"CP16470_2024-10-08_breast feather_rpt","CP16470_2024-10-08_breast feather","CP16470","breast","Breast",TRUE,0.199,3.47357956136912,"normalised_d15n",11.6153284258211,"live_measurement_0027","live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE,"aqc_0008","keep","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","rule_based","sheet_note_green_average","Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics.",TRUE,"green formatting|_rpt suffix","all_rows_green","resolved_use_average",TRUE,FALSE,TRUE,"lab_green_average","24|25","include","include",,,11.8090707413693,11.8090707413693,11.6153284258211,11.8090707413693,11.8090707413693,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
